"PT_ID","VS_cen","SH_cen","SH_lo","SH_hi","FPS_cen","Rank","Reco_Net","displ","Latitude","Longitude"
1,-999.9,0.7,-999.9,-999.9,-999.9,"Principal",0.7,0.7,40.135308740001,-117.740736000002
3,-999.9,1.2,-999.9,-999.9,-999.9,"Principal",1.2,1.2,40.151642710001,-117.730915700002
4,-999.9,0.9,-999.9,-999.9,-999.9,"Principal",0.9,0.9,40.154461750001,-117.728792700002
6,-999.9,-999.9,0.5,2,-999.9,"Principal",1.25,1.25,40.158339380001,-117.725623900002
7,-999.9,-999.9,0.3,0.4,-999.9,"Principal",0.35,0.35,40.161480390001,-117.724122900002
2,-999.9,0.5,-999.9,-999.9,-999.9,"Principal",0.5,0.5,40.165637720001,-117.732899100002
9,-999.9,1.2,-999.9,-999.9,-999.9,"Principal",1.2,1.2,40.165962020001,-117.723327800002
5,-999.9,0.8,-999.9,-999.9,-999.9,"Principal",0.8,0.8,40.168037490001,-117.727061800002
8,-999.9,0.3,-999.9,-999.9,-999.9,"Distributed",0.3,0.3,40.178601360001,-117.723962500002
10,-999.9,2.7,-999.9,-999.9,-999.9,"Principal",2.7,2.7,40.179143390001,-117.721863900002
11,-999.9,1.2,-999.9,-999.9,-999.9,"Principal",1.2,1.2,40.181904520001,-117.721706300002
12,-999.9,0.4,-999.9,-999.9,-999.9,"Principal",0.4,0.4,40.191054240001,-117.712871700002
13,-999.9,0.3,-999.9,-999.9,-999.9,"Principal",0.3,0.3,40.195348810001,-117.710550600002
20,-999.9,0.7,-999.9,-999.9,-999.9,"Principal",0.7,0.7,40.198864210001,-117.659518700002
15,-999.9,0.3,-999.9,-999.9,-999.9,"Distributed",0.3,0.3,40.200018640001,-117.707784900002
16,-999.9,0.2,-999.9,-999.9,-999.9,"Distributed",0.2,0.2,40.200990650001,-117.668087000002
23,0.6,1,-999.9,-999.9,-999.9,"Principal",0.6,0.6,40.202554210001,-117.655185900002
19,-999.9,0.2,-999.9,-999.9,-999.9,"Distributed",0.2,0.2,40.203124040001,-117.661103100002
14,-999.9,0.4,-999.9,-999.9,-999.9,"Distributed",0.4,0.4,40.202951180001,-117.710397800002
24,-999.9,0.9,-999.9,-999.9,-999.9,"Principal",0.9,0.9,40.205292170001,-117.652698100002
18,-999.9,1,-999.9,-999.9,-999.9,"Distributed",1,1,40.206237260001,-117.664431700002
17,-999.9,1,-999.9,-999.9,-999.9,"Distributed",1,1,40.209029230001,-117.666064400002
28,-999.9,1.3,-999.9,-999.9,-999.9,"Principal",1.3,1.3,40.209750050001,-117.644471200002
25,-999.9,0.3,-999.9,-999.9,-999.9,"Principal",0.3,0.3,40.214481270001,-117.645957100002
22,-999.9,0.2,-999.9,-999.9,-999.9,"Distributed",0.2,0.2,40.215702000001,-117.656071900002
21,-999.9,0.2,-999.9,-999.9,-999.9,"Distributed",0.2,0.2,40.225350900001,-117.659466600002
27,-999.9,2.2,-999.9,-999.9,-999.9,"Distributed",2.2,2.2,40.2265742369045,-117.64507010474
29,-999.9,3.4,-999.9,-999.9,-999.9,"Principal",3.4,3.4,40.228277650001,-117.644136500002
30,-999.9,0.7,-999.9,-999.9,-999.9,"Distributed",0.7,0.7,40.235129510001,-117.643967400002
31,-999.9,1.5,-999.9,-999.9,-999.9,"Principal",1.5,1.5,40.235722500001,-117.642892600002
26,-999.9,3,-999.9,-999.9,-999.9,"Principal",3,3,40.244735730001,-117.645144700002
33,-999.9,1,-999.9,-999.9,-999.9,"Principal",1,1,40.249551490001,-117.642559600002
32,-999.9,3,-999.9,-999.9,-999.9,"Principal",3,3,40.252063200001,-117.642747000002
34,-999.9,2.6,-999.9,-999.9,-999.9,"Principal",2.6,2.6,40.255909960001,-117.641100300002
35,2.4,3,-999.9,-999.9,-999.9,"Principal",2.4,2.4,40.265791650001,-117.639098900002
36,-999.9,3.6,-999.9,-999.9,-999.9,"Principal",3.6,3.6,40.270034110001,-117.636562500002
39,4,4.6,-999.9,-999.9,-999.9,"Principal",4,4,40.282827490001,-117.633907900002
40,-999.9,3.4,-999.9,-999.9,-999.9,"Principal",3.4,3.4,40.284592580001,-117.633629900002
42,-999.9,3,-999.9,-999.9,-999.9,"Principal",3,3,40.289382860001,-117.632170600002
41,-999.9,2.5,-999.9,-999.9,1.5,"Principal",2.91546,2.91546,40.292300730001,-117.632755100002
38,-999.9,2.5,-999.9,-999.9,-999.9,"Principal",2.5,2.5,40.298559590001,-117.635171100002
43,3.6,5.5,-999.9,-999.9,-999.9,"Principal",3.6,3.6,40.312221620001,-117.625254700002
44,-999.9,3.5,-999.9,-999.9,-999.9,"Principal",3.5,3.5,40.318735290001,-117.620121600002
45,-999.9,3.5,-999.9,-999.9,-999.9,"Principal",3.5,3.5,40.321422300001,-117.618490800002
46,-999.9,4,-999.9,-999.9,-999.9,"Principal",4,4,40.323701620001,-117.614599300002
47,-999.9,4,-999.9,-999.9,-999.9,"Principal",4,4,40.328825460001,-117.608370500002
49,-999.9,5.5,-999.9,-999.9,-999.9,"Principal",5.5,5.5,40.332649810001,-117.607909600002
50,-999.9,3.8,-999.9,-999.9,0.5,"Principal",3.832754,3.832754,40.342851160001,-117.606054200002
51,-999.9,3.4,-999.9,-999.9,-999.9,"Principal",3.4,3.4,40.345922680001,-117.605227200002
52,-999.9,3.5,-999.9,-999.9,-999.9,"Principal",3.5,3.5,40.347224490001,-117.604509100002
54,5.2,6.1,-999.9,-999.9,-999.9,"Principal",5.2,5.2,40.351125280001,-117.602813500002
53,5.8,6.1,-999.9,-999.9,-999.9,"Principal",5.8,5.8,40.352989970001,-117.602857500002
56,-999.9,3.6,-999.9,-999.9,-999.9,"Principal",3.6,3.6,40.356686910001,-117.601134200002
55,5.8,6.2,-999.9,-999.9,-999.9,"Principal",5.8,5.8,40.360630560001,-117.601231400002
57,4.6,5.5,-999.9,-999.9,-999.9,"Principal",4.6,4.6,40.370401060001,-117.592892500002
58,3.7,6.3,-999.9,-999.9,-999.9,"Principal",3.7,3.7,40.372715130001,-117.590488100002
59,-999.9,2.6,-999.9,-999.9,-999.9,"Principal",2.6,2.6,40.374779020001,-117.587861300002
60,-999.9,2,-999.9,-999.9,-999.9,"Principal",2,2,40.380623260001,-117.584629900002
61,-999.9,3.6,-999.9,-999.9,-999.9,"Principal",3.6,3.6,40.382944280001,-117.583879400002
65,-999.9,2.3,-999.9,-999.9,-999.9,"Principal",2.3,2.3,40.406430660001,-117.582076100002
64,-999.9,3,-999.9,-999.9,-999.9,"Principal",3,3,40.408571000001,-117.582117800002
63,-999.9,2.4,-999.9,-999.9,-999.9,"Principal",2.4,2.4,40.410905920001,-117.582159500002
62,-999.9,2.3,-999.9,-999.9,-999.9,"Principal",2.3,2.3,40.412942020001,-117.582687600002
66,-999.9,1.7,-999.9,-999.9,-999.9,"Principal",1.7,1.7,40.414734900001,-117.582041400002
67,-999.9,1.7,-999.9,-999.9,-999.9,"Distributed",1.7,1.7,40.414818290001,-117.581144900002
74,-999.9,1.5,-999.9,-999.9,-999.9,"Principal",1.5,1.5,40.422541400001,-117.526823600002
71,-999.9,2.6,-999.9,-999.9,-999.9,"Principal",2.6,2.6,40.426794280001,-117.527337400002
73,-999.9,1.7,-999.9,-999.9,-999.9,"Principal",1.7,1.7,40.429023800001,-117.527161800002
68,-999.9,0.6,-999.9,-999.9,-999.9,"Principal",0.6,0.6,40.436614700001,-117.566808700002
77,-999.9,1.4,-999.9,-999.9,-999.9,"Distributed",1.4,1.4,40.4496111797643,-117.519404709047
78,-999.9,4.9,-999.9,-999.9,0.9,"Principal",4.981967,4.981967,40.453204520001,-117.517239200002
76,-999.9,2.1,-999.9,-999.9,-999.9,"Principal",2.1,2.1,40.466268920001,-117.525404400002
75,-999.9,1.5,-999.9,-999.9,-999.9,"Principal",1.5,1.5,40.468965190001,-117.525640700002
70,-999.9,0.3,-999.9,-999.9,-999.9,"Principal",0.3,0.3,40.477575190001,-117.529775400002
69,-999.9,0.8,-999.9,-999.9,-999.9,"Principal",0.8,0.8,40.484922760001,-117.532814500002
85,-999.9,2.4,-999.9,-999.9,-999.9,"Principal",2.4,2.4,40.542754490001,-117.482473000002
83,-999.9,1.2,-999.9,-999.9,-999.9,"Principal",1.2,1.2,40.549035120001,-117.484965700002
80,-999.9,0.8,-999.9,-999.9,-999.9,"Principal",0.8,0.8,40.563866730001,-117.489235800002
79,-999.9,0.9,-999.9,-999.9,-999.9,"Principal",0.9,0.9,40.566773140001,-117.489644400002
81,-999.9,1.2,-999.9,-999.9,-999.9,"Principal",1.2,1.2,40.572565280001,-117.487901900002
82,-999.9,0.5,-999.9,-999.9,-999.9,"Principal",0.5,0.5,40.578508950001,-117.484995500002
84,-999.9,0.5,-999.9,-999.9,-999.9,"Principal",0.5,0.5,40.585840390001,-117.484027900002
86,-999.9,0.1,-999.9,-999.9,-999.9,"Principal",0.1,0.1,40.597316210001,-117.475975000002
87,-999.9,1,-999.9,-999.9,-999.9,"Principal",1,1,40.602575170001,-117.472189900002
88,-999.9,1.5,-999.9,-999.9,-999.9,"Principal",1.5,1.5,40.604889280001,-117.469141200002
89,-999.9,0.8,-999.9,-999.9,-999.9,"Principal",0.8,0.8,40.610360020001,-117.463966600002
90,-999.9,0.3,-999.9,-999.9,-999.9,"Principal",0.3,0.3,40.613851840001,-117.459255700002
